x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LOCAL_DATE_dt,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_SNOW,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,date,DTR,T_mean,month,month_name,year
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.12,2000-01-12 00:00:00,2000-01-12,NL,2000,1,12,1.4,-1.8,4.6,0.8,0.8,0.0,0.0,0.0,16.6,2000-01-12,6.3999999999999995,1.4,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.13,2000-01-13 00:00:00,2000-01-13,NL,2000,1,13,-0.9,-2.9,1.1,0.0,0.0,0.0,0.0,0.0,18.9,2000-01-13,4.0,-0.8999999999999999,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.14,2000-01-14 00:00:00,2000-01-14,NL,2000,1,14,1.9,-2.8,6.6,18.0,8.0,10.0,6.0,0.0,16.1,2000-01-14,9.399999999999999,1.9,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.15,2000-01-15 00:00:00,2000-01-15,NL,2000,1,15,-4.2,-6.7,-1.6,0.0,0.0,0.0,0.0,0.0,22.2,2000-01-15,5.1,-4.15,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.16,2000-01-16 00:00:00,2000-01-16,NL,2000,1,16,-5.6,-7.5,-3.6,2.6,1.4,1.2,0.0,0.0,23.6,2000-01-16,3.9,-5.55,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.17,2000-01-17 00:00:00,2000-01-17,NL,2000,1,17,-3.3,-4.7,-1.8,2.5,1.3,1.2,0.0,0.0,21.3,2000-01-17,2.9000000000000004,-3.25,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.18,2000-01-18 00:00:00,2000-01-18,NL,2000,1,18,-1.3,-2.2,-0.4,11.7,0.9,12.2,6.0,0.0,19.3,2000-01-18,1.8000000000000003,-1.3,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.19,2000-01-19 00:00:00,2000-01-19,NL,2000,1,19,-2.3,-4.4,-0.2,3.8,0.8,3.0,11.0,0.0,20.3,2000-01-19,4.2,-2.3000000000000003,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.20,2000-01-20 00:00:00,2000-01-20,NL,2000,1,20,1.2,-2.7,5.0,31.0,27.4,3.6,10.0,0.0,16.8,2000-01-20,7.7,1.15,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.21,2000-01-21 00:00:00,2000-01-21,NL,2000,1,21,0.7,-5.3,6.6,37.0,37.0,0.0,0.0,0.0,17.3,2000-01-21,11.899999999999999,0.6499999999999999,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.22,2000-01-22 00:00:00,2000-01-22,NL,2000,1,22,1.1,-3.4,5.6,9.9,9.5,0.4,0.0,0.0,16.9,2000-01-22,9.0,1.0999999999999999,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.23,2000-01-23 00:00:00,2000-01-23,NL,2000,1,23,-5.3,-9.0,-1.5,1.8,0.0,1.8,0.0,0.0,23.3,2000-01-23,7.5,-5.25,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.24,2000-01-24 00:00:00,2000-01-24,NL,2000,1,24,-5.5,-10.4,-0.6,8.7,0.7,8.0,1.0,0.0,23.5,2000-01-24,9.8,-5.5,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.25,2000-01-25 00:00:00,2000-01-25,NL,2000,1,25,0.3,-1.7,2.3,1.8,1.8,0.0,6.0,0.0,17.7,2000-01-25,4.0,0.29999999999999993,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.26,2000-01-26 00:00:00,2000-01-26,NL,2000,1,26,6.5,-0.7,13.6,3.0,3.0,0.0,0.0,0.0,11.5,2000-01-26,14.299999999999999,6.45,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.27,2000-01-27 00:00:00,2000-01-27,NL,2000,1,27,8.5,4.3,12.7,6.4,6.4,0.0,0.0,0.0,9.5,2000-01-27,8.399999999999999,8.5,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.28,2000-01-28 00:00:00,2000-01-28,NL,2000,1,28,1.6,-1.2,4.4,4.3,1.7,2.6,0.0,0.0,16.4,2000-01-28,5.6000000000000005,1.6,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.29,2000-01-29 00:00:00,2000-01-29,NL,2000,1,29,-3.7,-6.1,-1.2,3.0,0.0,3.0,5.0,0.0,21.7,2000-01-29,4.8999999999999995,-3.65,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.30,2000-01-30 00:00:00,2000-01-30,NL,2000,1,30,-3.9,-5.5,-2.3,0.0,0.0,0.0,5.0,0.0,21.9,2000-01-30,3.2,-3.9,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.31,2000-01-31 00:00:00,2000-01-31,NL,2000,1,31,-4.3,-7.2,-1.3,0.0,0.0,0.0,5.0,0.0,22.3,2000-01-31,5.9,-4.25,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.1,2000-02-01 00:00:00,2000-02-01,NL,2000,2,1,0.8,-1.4,2.9,5.4,5.2,0.2,3.0,0.0,17.2,2000-02-01,4.3,0.75,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.2,2000-02-02 00:00:00,2000-02-02,NL,2000,2,2,-0.9,-3.1,1.3,14.5,0.0,16.6,2.0,0.0,18.9,2000-02-02,4.4,-0.9,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.3,2000-02-03 00:00:00,2000-02-03,NL,2000,2,3,-5.2,-8.2,-2.1,2.2,0.0,2.2,13.0,0.0,23.2,2000-02-03,6.1,-5.1499999999999995,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.4,2000-02-04 00:00:00,2000-02-04,NL,2000,2,4,-7.9,-12.5,-3.2,0.7,0.0,0.7,13.0,0.0,25.9,2000-02-04,9.3,-7.85,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.5,2000-02-05 00:00:00,2000-02-05,NL,2000,2,5,-10.8,-16.7,-4.8,0.0,0.0,0.0,13.0,0.0,28.8,2000-02-05,11.899999999999999,-10.75,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.6,2000-02-06 00:00:00,2000-02-06,NL,2000,2,6,-6.6,-10.8,-2.4,1.0,0.0,1.0,10.0,0.0,24.6,2000-02-06,8.4,-6.6000000000000005,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.7,2000-02-07 00:00:00,2000-02-07,NL,2000,2,7,-6.5,-13.3,0.4,5.6,0.0,5.6,11.0,0.0,24.5,2000-02-07,13.700000000000001,-6.45,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.8,2000-02-08 00:00:00,2000-02-08,NL,2000,2,8,-10.0,-14.2,-5.8,3.5,0.0,5.0,20.0,0.0,28.0,2000-02-08,8.399999999999999,-10.0,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.9,2000-02-09 00:00:00,2000-02-09,NL,2000,2,9,-4.7,-12.4,3.1,1.0,1.0,0.0,19.0,0.0,22.7,2000-02-09,15.5,-4.65,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.10,2000-02-10 00:00:00,2000-02-10,NL,2000,2,10,-4.3,-10.8,2.3,0.0,0.0,0.0,10.0,0.0,22.3,2000-02-10,13.100000000000001,-4.25,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.11,2000-02-11 00:00:00,2000-02-11,NL,2000,2,11,-8.3,-12.6,-4.0,0.0,0.0,0.0,8.0,0.0,26.3,2000-02-11,8.6,-8.3,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.12,2000-02-12 00:00:00,2000-02-12,NL,2000,2,12,-2.1,-7.0,2.8,0.8,0.8,0.0,8.0,0.0,20.1,2000-02-12,9.8,-2.1,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.13,2000-02-13 00:00:00,2000-02-13,NL,2000,2,13,-6.2,-9.1,-3.3,0.0,0.0,0.0,5.0,0.0,24.2,2000-02-13,5.8,-6.199999999999999,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.14,2000-02-14 00:00:00,2000-02-14,NL,2000,2,14,-3.2,-5.0,-1.4,0.0,0.0,0.0,0.0,0.0,21.2,2000-02-14,3.6,-3.2,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.15,2000-02-15 00:00:00,2000-02-15,NL,2000,2,15,5.1,-1.4,11.5,3.8,3.8,0.0,0.0,0.0,12.9,2000-02-15,12.9,5.05,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.16,2000-02-16 00:00:00,2000-02-16,NL,2000,2,16,-0.3,-3.9,3.4,0.0,0.0,0.0,0.0,0.0,18.3,2000-02-16,7.3,-0.25,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.17,2000-02-17 00:00:00,2000-02-17,NL,2000,2,17,-2.8,-7.5,1.9,2.3,1.7,0.6,0.0,0.0,20.8,2000-02-17,9.4,-2.8,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.18,2000-02-18 00:00:00,2000-02-18,NL,2000,2,18,-9.5,-11.7,-7.2,0.0,0.0,0.0,0.0,0.0,27.5,2000-02-18,4.499999999999999,-9.45,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.19,2000-02-19 00:00:00,2000-02-19,NL,2000,2,19,-8.4,-11.3,-5.5,3.2,0.0,3.2,0.0,0.0,26.4,2000-02-19,5.800000000000001,-8.4,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.20,2000-02-20 00:00:00,2000-02-20,NL,2000,2,20,-5.8,-7.0,-4.5,7.6,0.0,8.0,2.0,0.0,23.8,2000-02-20,2.5,-5.75,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.21,2000-02-21 00:00:00,2000-02-21,NL,2000,2,21,-3.8,-7.3,-0.3,1.8,0.0,2.4,12.0,0.0,21.8,2000-02-21,7.0,-3.8,2,Feb,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.2.22,2000-02-22 00:00:00,2000-02-22,NL,2000,2,22,-9.1,-12.8,-5.4,0.0,0.0,0.0,10.0,0.0,27.1,2000-02-22,7.4,-9.100000000000001,2,Feb,2000
